Instrument Name,SDS3034X HD
Serial Number,SDS3HA0X900267
Software Version,6.8.14.1.0.4.2
Awg Type,LAN
Awg IP Address,192.168.157.206
DUT Input Source,CH1
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,3V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,10Hz
Stop Frequency,120000000Hz
Sweep Line,501
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
70794.5784,-27.4978072,-1.7293299
79432.8235,-27.5036659,-2.09364618
89125.0938,-27.5070462,-2.48126153
100000,-27.5111539,-2.8970529
112201.845,-27.5323146,-3.3455772
125892.541,-27.5385023,-3.82817945
141253.754,-27.5526681,-4.34116388
158489.319,-27.5631977,-4.90584577
177827.941,-27.5807411,-5.53139702
199526.231,-27.5975703,-6.21187572
223872.114,-27.6125533,-6.96220652
251188.643,-27.6365401,-7.79657124
281838.293,-27.6628448,-8.72647278
316227.766,-27.6952657,-9.74295536
354813.389,-27.7276444,-10.8972572
398107.171,-27.7673901,-12.1679868
446683.592,-27.8219823,-13.5772518
501187.234,-27.8900787,-15.1244143
562341.325,-27.9648326,-16.8624181
630957.344,-28.0579595,-18.7698853
707945.784,-28.174856,-20.8432377
794328.235,-28.3140877,-23.1210925
891250.938,-28.4833031,-25.5900278
1000000,-28.6841865,-28.2406596
1122018.45,-28.9294433,-31.0763981
1258925.41,-29.2030791,-34.0852167
1412537.54,-29.5290167,-37.25476
1584893.19,-29.8862082,-40.5849231
1778279.41,-30.2667232,-44.1267007
1995262.31,-30.6238334,-48.2858765
2238721.14,-30.9084013,-54.9440067
2511886.43,-32.6531028,-67.5948791
2818382.93,-34.6382123,-62.3680253
3162277.66,-35.3263126,-62.0318988
3548133.89,-36.274338,-64.1568829
3981071.71,-37.649364,-66.7118112
4466835.92,-39.6485122,-67.2555837
5011872.34,-42.2837603,-60.8623202
5623413.25,-44.5716803,-41.1002131
6309573.44,-43.9634235,-10.3917009
7079457.84,-39.6868162,7.13790132
7943282.35,-34.8132602,-2.71003425
8912509.38,-33.0341448,-34.3913476
10000000,-34.7772945,-56.0036313
11220184.5,-36.4407988,-65.792854
12589254.1,-37.9213045,-73.9075122
14125375.4,-39.6240058,-80.5991007
15848931.9,-41.4651871,-85.4933571
17782794.1,-43.5883405,-89.1344537
19952623.1,-46.2034832,-88.1876479
22387211.4,-49.2204406,-77.2145143
25118864.3,-49.7614543,-49.8498503
28183829.3,-46.3172949,-37.5491207
31622776.6,-43.7561692,-57.3634
35481338.9,-46.9125724,-76.5968822
39810717.1,-50.1037708,-34.5345936
44668359.2,-44.6937698,-57.8375422
50118723.4,-45.0571389,-47.0428476
56234132.5,-40.162347,-49.0227701
63095734.4,-36.6059995,-90.6372315
70794578.4,-39.2385591,-130.715179
79432823.5,-42.719519,-139.179478
89125093.8,-43.4989014,-139.827423
100000000,-40.5114642,-139.191007
112201845,-37.8492138,-174.630734
120000000,-37.4154143,160.51232
