Instrument Name,SDS3034X HD
Serial Number,SDS3HA0X900267
Software Version,6.8.14.1.0.4.2
Awg Type,LAN
Awg IP Address,192.168.157.206
DUT Input Source,CH1
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,3V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,10Hz
Stop Frequency,120000000Hz
Sweep Line,501
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
19952623.1,-32.3972698,15.4674317
22387211.4,-32.3521755,19.7111072
25118864.3,-31.7978908,26.0415
28183829.3,-30.4188763,27.394546
31622776.6,-30.2289347,23.4523976
35481338.9,-30.8517916,30.74353
39810717.1,-29.7205923,49.7205995
44668359.2,-26.1966656,66.3094152
50118723.4,-19.7037108,70.8631461
56234132.5,-13.4512485,50.6606123
63095734.4,-8.92226917,10.5347362
70794578.4,-8.43056077,-23.4024572
79432823.5,-1.85369362,-42.5061894
89125093.8,-3.07145716,-146.806664
100000000,-8.50444212,-162.281851
112201845,-9.83037569,165.475608
120000000,-11.3387771,147.398295
